#OTU ID	A11	A21	A31	A41	A51	B11	B21	B31	B41	B51	C11	C21	C31	C41	C51	D11	D21	D31	D41	D51	E11	E21	E31	E51	F11	F21	F31	F41	F51
ASV_1	1716	3543	3473	3024	3407	2875	1455	2212	2239	2695	11478	9449	8026	10375	10992	11257	10680	8587	10472	10920	8436	12292	8460	11861	8577	8385	14112	12214	10226
ASV_10	1332	2085	1197	536	1754	1176	174	1038	2300	690	1661	713	1246	1398	467	1324	818	1660	935	1483	797	2768	3556	1165	1609	1374	1533	2481	1325
ASV_100	3200	140	1607	735	171	852	678	66	703	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0
ASV_101	123	1610	259	326	174	963	14	395	80	91	198	7	0	3	4	330	7	8	0	27	17	34	61	0	0	1003	0	59	561
ASV_102	305	366	293	163	246	306	72	116	89	287	2	0	2	3	46	63	159	39	208	203	84	34	449	83	87	29	0	26	120
ASV_103	53	55	96	80	387	53	82	147	188	156	63	10	77	58	42	166	109	132	403	298	311	96	252	182	404	184	31	406	133
ASV_104	103	94	728	120	121	133	51	147	105	145	236	159	134	174	50	18	55	51	587	159	17	223	237	34	142	261	136	173	66
ASV_105	573	0	25	0	0	0	317	0	86	0	2	136	398	10	11	227	5	0	0	3	815	223	535	977	157	0	3	0	189
ASV_106	20	31	42	20	26	31	14	35	56	33	410	136	297	157	528	79	90	225	211	65	218	158	20	77	309	151	153	229	146
ASV_107	716	94	59	0	7	0	37	1883	9	54	2	83	32	0	4	0	0	0	14	0	0	0	0	9	0	4	0	0	0
ASV_108	255	136	874	3	92	1020	1209	0	321	11	7	23	7	3	27	18	2	8	24	24	15	0	40	0	0	7	0	7	0
ASV_109	1726	144	1042	329	89	404	273	147	549	160	14	0	0	7	0	7	5	0	0	0	17	16	0	0	0	7	0	26	405
ASV_11	825	869	1255	898	1479	1282	899	1321	1039	1231	1818	1684	2245	3012	2980	3614	1333	1951	1866	1881	1391	1860	641	1587	1882	1260	1319	2763	2278
ASV_110	931	70	607	289	115	306	835	232	114	541	43	13	47	171	8	207	313	66	235	127	172	577	101	25	73	162	97	33	193
ASV_111	0	0	0	0	0	0	0	0	0	0	19	0	0	342	23	0	0	8	556	6	620	577	202	281	58	0	233	29	10
ASV_112	119	0	113	60	13	169	821	8	9	25	2	265	74	58	4	18	52	0	1528	501	0	16	20	37	499	18	28	0	0
ASV_113	106	179	96	20	200	62	78	291	126	120	72	176	84	58	111	124	109	109	92	115	166	56	267	49	66	147	78	62	206
ASV_114	36	16	418	3	43	9	82	112	120	356	19	7	35	3	31	405	0	233	31	27	320	217	161	59	4	70	50	108	20
