class	CTL	CTL	CTL	CTL	CTL	CTL	CTL	CTL	CTL	CRF	CRF	CRF	CRF	CRF	CRF	CRF	CRF	CRF
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	6236	5504	267	349	3004	325	13251	5559	24	0	11	9355	14552	5672	11563	4872	6569	7885
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	7378	6315	368	396	3221	298	14560	7060	12	0	11	16612	18187	7458	12957	7303	9859	16141
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	3368	2434	37628	24277	20714	51200	3804	5993	12501	6636	12435	1113	1685	834	3317	833	1345	1627
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	6987	5741	419	330	3312	325	14189	6605	24	0	63	10369	15930	6138	11878	6756	7079	9190
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	3579	2908	165	245	1694	199	7566	3298	12	0	11	7108	11069	3841	6599	5940	5421	8389
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0	0	0	9	10	0	454	39	0	0	21	7595	9941	3911	1336	3862	8251	12638
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens	3218	5366	445	2054	2549	1975	5767	4996	5422	3278	5477	2257	4480	6902	7935	3475	4254	4383
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_animalis	5514	14726	7992	3683	12936	1451	3309	1116	2285	6072	3986	2585	205	184	47	8	984	370
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	20	237	44	9	217	258	0	30	0	94	159	1581	142	5591	3294	9180	11847	862
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	441	50	1340	810	344	1279	263	602	2001	2767	1850	1511	239	6003	4375	3727	2384	1645
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	8982	1685	3259	2600	1922	1485	149	9390	4321	6677	6175	4185	684	1034	770	429	401	1457
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	722	1535	2802	8676	4177	1617	701	0	497	228	349	0	586	1463	1529	850	440	941
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2426	6776	521	631	2888	2326	2840	1096	1030	2391	3141	1531	835	1287	648	135	6836	9160
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	2276	387	4301	2506	1826	2485	1474	4937	1373	6126	518	2078	259	527	353	135	554	340
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis	170	1585	121	1253	5	0	5	10	107	148	3796	50	1040	11819	172	0	524	103
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	60	262	254	226	283	384	15	89	154	54	338	984	132	3212	2266	6756	6742	643
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara	3168	499	4129	3203	1891	2618	1160	2893	687	3976	1988	388	713	49	73	0	5	540
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0	0	0	0	0	0	0	0	0	0	10	0	0	4507	11502	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	3639	4468	4161	2591	4653	3844	1546	1224	24	0	127	1799	10	0	2	0	0	6
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	311	112	0	0	131	20	902	227	12	0	0	706	5711	1582	549	2533	2879	1651
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	361	262	883	707	1462	331	5	0	7127	2606	3489	129	220	568	1107	294	232	267
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Allobaculum|s__Allobaculum_stercoricanis	0	649	0	0	0	0	304	30	12	13	32	1372	1514	2955	1105	2171	791	3776
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	351	75	794	537	228	656	1237	2429	10418	6394	1766	964	181	4	5	0	5	6
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	1193	6677	222	330	1472	928	1840	997	438	1330	3225	398	127	94	568	59	3161	1220
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	612	1710	2122	2487	475	2015	0	168	2403	497	973	159	171	241	488	50	15	225
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	922	437	457	301	2170	656	1474	1195	0	0	0	795	1241	123	351	471	490	1032
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	762	437	362	3542	1047	464	1077	1906	2628	1706	2326	1103	137	33	191	42	45	61
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	942	1672	2357	1328	3778	782	216	79	864	81	3500	99	59	8	97	0	30	127
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2055	761	280	829	450	464	752	820	675	1464	867	925	220	380	214	50	267	316
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0	100	6	0	61	40	0	10	0	0	42	308	15	1259	577	2364	2538	219
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1584	225	121	650	197	53	392	1639	2462	3251	1840	577	107	155	90	67	89	279
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_stercoricanis	0	162	19	0	91	27	31	20	24	13	412	626	64	1745	761	2491	1568	322
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	541	1161	89	1074	693	292	758	3476	1089	309	296	587	171	356	563	76	173	115
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	70	0	572	3523	243	179	1129	1688	0	537	730	1342	249	155	386	160	218	85
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	10	312	248	94	76	73	72	267	83	94	1935	328	10	2383	238	1843	252	164
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	311	212	222	528	278	232	258	889	1030	940	973	318	244	580	582	109	371	449
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0	0	6	0	20	7	0	0	0	0	0	70	15	168	130	496	594	30
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	1313	100	254	490	177	199	31	444	95	1545	32	60	298	302	320	328	361	2628
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	1183	1535	2052	848	1517	1140	479	385	0	0	0	636	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1935	225	388	1884	410	258	206	3535	213	900	1057	676	259	12	99	143	10	36
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_acidifaciens	30	125	38	151	51	0	10	20	0	40	32	10	64	2023	1239	1927	292	24
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_cateniformis	0	0	0	0	0	0	0	0	0	0	0	0	303	1467	488	505	1004	819
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	331	150	318	462	582	471	186	1412	2616	3708	1882	925	83	396	254	143	139	158
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0	0	273	829	0	0	31	770	3753	1921	3489	785	83	4	7	0	0	6
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	60	25	70	47	71	53	5	20	0	121	32	80	20	1810	723	1161	341	212
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	261	37	426	509	66	13	392	533	2226	4621	423	477	112	102	245	471	94	121
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	331	187	178	480	228	126	263	681	710	793	465	219	142	360	608	109	237	188
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1073	175	324	829	273	192	108	2636	426	913	708	646	132	0	101	50	0	36
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_rava	0	0	0	0	0	0	0	0	0	0	0	80	0	711	1640	446	208	6
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	30	225	470	650	263	424	15	178	95	860	21	80	88	400	391	707	193	170
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sartorii	722	112	0	122	0	762	948	691	781	2754	317	89	127	335	299	227	5	85
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	872	1211	947	999	450	451	0	49	343	27	317	119	332	519	269	202	40	237
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	531	162	44	47	10	13	0	0	0	0	0	70	44	895	961	412	307	279
k__Bacteria|p__Bacteroidetes	2075	636	280	678	445	345	98	207	331	175	42	40	39	155	163	93	64	55
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	972	212	1563	2572	713	610	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0	0	203	735	0	0	52	997	3208	1800	2823	686	20	4	7	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0	799	0	283	627	93	2154	0	83	524	381	0	68	0	68	0	0	91
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	201	349	121	330	147	139	98	671	864	981	687	119	88	257	422	109	158	212
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	140	87	127	311	167	139	36	227	758	336	360	169	83	257	405	118	178	219
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	682	0	89	236	40	80	98	79	1397	322	2770	437	15	41	193	101	54	30
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0	0	25	28	5	60	5	30	95	242	63	40	10	253	172	202	30	61
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	521	324	38	0	30	225	2118	128	59	94	677	99	269	16	33	17	0	36
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	160	112	64	217	177	106	52	158	308	228	180	80	59	139	424	42	158	146
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	211	50	89	207	233	232	98	928	1160	1814	1005	636	29	196	115	42	54	67
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	201	112	172	57	551	205	397	425	0	0	11	149	308	45	160	67	109	164
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	30	125	426	377	162	331	10	109	107	363	106	60	68	311	318	581	193	115
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	130	125	1163	810	875	1869	88	69	0	13	42	70	0	0	0	0	0	0
